factor,rank_ic_2020_2024_mean,rank_ic_2025,ic_change,sign_flip,status
operating_cash_margin_rank,0.01798810446375314,-0.0001328998731622,-0.018121004336915342,True,SIGN_REVERSAL
benchmark_weight_rank,0.018035029691608178,0.0139248140841536,-0.004110215607454578,False,FACTOR_DECAY
revenue_growth_change_rank,0.01164518245071924,0.0171407723623913,0.005495589911672059,False,NO_DECAY
gross_margin_yoy_change_rank,0.0093057514482329,0.0186674594058858,0.009361707957652902,False,NO_DECAY
volatility_60_rank,0.058073015330615485,-0.0251887805477476,-0.08326179587836309,True,SIGN_REVERSAL
low_volatility,0.05100561943946856,-0.0222812550782646,-0.07328687451773316,True,SIGN_REVERSAL
deducted_profit_growth_change_rank,0.0094436413919275,0.0173911987151624,0.007947557323234902,False,NO_DECAY
liquidity,-0.02295728165726612,-0.0115660546465702,0.01139122701069592,False,NO_DECAY
gross_margin_change_rank,0.007036390582721081,0.0185482718320446,0.011511881249323522,False,NO_DECAY
volume_trend_60_rank,-0.017573260504790043,-0.0040526546191326,0.013520605885657443,False,NO_DECAY
profit_growth_change_rank,0.00825792988127878,0.0228653748276651,0.01460744494638632,False,NO_DECAY
cash_ratio_change_rank,0.010062073363174839,0.0024242283641655,-0.007637844999009338,False,FACTOR_DECAY
intraday_strength_20_rank,-0.008670850854983043,-0.0132837037857999,-0.0046128529308168565,False,FACTOR_DECAY
fcff_back_rank,0.006104485326648461,0.0129008404318088,0.00679635510516034,False,NO_DECAY
industry_momentum,-0.004100919274688081,-0.022604799256024,-0.018503879981335916,False,FACTOR_DECAY
